EstablishmentName,Easting,Northing
Weald Infant and Nursery School,515645,191154
West Lodge Primary School,511769,189316
Earlsmead Primary School,512872,185623
Welldon Park Infant School,514400,186000
Welldon Park Junior School,514035,186012
Norbury School,515100,188475
Vaughan Primary School,514092,188075
Glebe Primary School,518086,189462
Aylward Primary School,517981,192291
Whitchurch First School and Nursery,517594,191239
St Bernadette's Catholic Primary School,518540,189173
St Anselm's Catholic Primary School,515057,187620
St Teresa's Catholic Primary School and Nursery,514022,190858
St John Fisher Catholic Primary School,513011,189029
St Joseph's Catholic Primary School,516391,190312
St George's Primary School,515728,186230
Whitmore High School,514224,187316
The Sacred Heart Language College,515333,190273
Harrow School,515319,187244
Heathfield School for Girls,511811,187922
The John Lyon School,514888,187108
Orley Farm School,514907,186152
Quainton Hall School,515063,188637
Alpha Preparatory School,515450,188690
Buckingham College School,515473,188687
Peterborough and St Margaret's School,515144,193445
Reddiford School,512437,189230
Roxeth Mead School,514776,186975
North London Collegiate School,518160,191976
Shaftesbury High School,513970,190835
Alexandra School,513081,186624
Birnam Wood Pupil Referral Unit,554382,187071
Oglethorpe Unit,557570,186616
The James Oglethorpe Primary School,557570,186616
Harold Wood Primary School,554997,189759
Ardleigh Green Junior School,553907,189675
Ardleigh Green Infant School,553907,189675
Elm Park Primary School,551858,185367
Benhurst Primary School,552897,186268
Hylands Primary School,552374,188192
Hacton Primary School,554419,186215
Harold Court Primary School,555322,191230
Langtons Junior School,554073,187242
Langtons Infant School,554073,187242
Scargill Junior School,552073,184537
Scargill Infant School,552073,184537
Suttons Primary School,553877,185820
Whybridge Junior School,552020,183864
Whybridge Infant School,552029,184000
Brookside Junior School,554152,192388
Brookside Infant School,554152,192388
Clockhouse Primary School,549988,191473
Crownfield Junior School,549433,190308
Crownfield Infant School,549433,190308
Parklands Junior School,550658,189989
Parklands Infant School,550658,189989
Rise Park Junior School,550966,190881
Rise Park Infant School,550966,190881
Squirrels Heath Junior School,552912,188781
Squirrels Heath Infant School,552912,188781
Gidea Park Primary School,552099,189498
Towers Infant School,553371,187923
Parsonage Farm Primary School,553377,182904
Towers Junior School,553323,187827
Brady Primary School,553052,181755
Scotts Primary School,553545,185156
Broadford Primary School,553971,191548
Newtons Primary School,550692,183278
Pyrgo Priory Primary School,555019,192476
Nelmes Primary School,554864,189070
Mead Primary School,554608,191769
Rainham Village Primary School,552430,182359
Hilldene Primary School,552977,191609
Pinewood Primary School,549795,192411
Dame Tipping Church of England Primary School,551162,193382
St Edward's Church of England Voluntary Aided Primary School,551124,189480
St Mary's Catholic Primary School,552326,187377
La Salette Catholic Primary School,552102,182754
St Patrick's Catholic Primary School,549636,190807
St Ursula's Catholic Junior School,553024,191942
St Ursula's Catholic Infant School,553024,191942
St Joseph's Catholic Primary School,555976,186572
St Peter's Catholic Primary School,551046,189566
St Alban's Catholic Primary School,552574,184346
The Sanders Draper School and Specialist Science College,553667,185762
"The Chafford School, A Specialist Business and Enterprise College",553087,181922
The Royal Liberty School,553212,189729
Gaynes School,556274,185453
Marshalls Park School,551408,190187
Gidea Park College,552488,189757
Goodrington School,553677,188104
St Mary's Hare Park School,553088,189702
Raphael Independent School,552065,188037
Immanuel School,550883,192249
Oakfields Montessori School,556024,184888
Corbets Tey School,556057,184996
Dycorts School,555075,192641
Ravensbourne School,553748,190796
McMillan Nursery School,508547,181007
Hillingdon Tuition Centre,506465,180317
Bourne Primary School,511334,184924
Breakspear Junior School,507406,186808
Colham Manor Primary School,507071,181457
Coteford Infant School,510186,188456
Deanesfield Primary School,511664,185752
Field End Junior School,511795,186560
Field End Infant School,511795,186560
Glebe Primary School,508488,185552
Harefield Junior School,505112,190547
Harefield Infant School,505050,190544
Harlyn Primary School,510753,189845
Harmondsworth Primary School,505655,177525
Heathrow Primary School,506988,177916
Lady Bankes Junior School,510453,186919
Lady Bankes Infant School,510453,186919
Laurel Lane Primary School,506047,178913
Minet Junior School,510563,180360
Minet Nursery and Infant School,510563,180360
Newnham Junior School,511440,187433
Newnham Infant and Nursery School,511440,187433
Ryefield Primary School,508478,183834
West Drayton Primary School,506530,179594
Whitehall Junior School,505413,183387
Whiteheath Junior School,508248,187992
William Byrd School,508532,177907
Yeading Junior School,511190,181608
Yeading Infant and Nursery School,511203,181551
Hermitage Primary School,505909,184499
Brookside Primary School,511435,182524
Highfield Primary School,507941,182886
Rabbsfarm Primary School,506026,180857
Warrender Primary School,509964,187686
Breakspear Infant and Nursery School,507406,186808
Whitehall Infant School,505413,183387
Whiteheath Infant and Nursery School,508115,188074
Frithwood Primary School,509709,191703
Ruislip Gardens Primary School,509599,185939
Bishop Winnington-Ingram CofE Primary School,508573,187712
Holy Trinity CofE Primary School,508306,191749
Dr Triplett's CofE Primary School,509973,181078
St Swithun Wells Catholic Primary School,511551,186256
Botwell House Catholic Primary School,509698,179936
St Bernadette Catholic Primary School,507524,183487
St Catherine Catholic Primary School,505676,179425
St Mary's Catholic Primary School,505028,183848
Sacred Heart Catholic Primary School,509289,186608
Oak Farm Infant School,507730,183934
Oak Farm Junior School,507730,183934
Grange Park Junior School,509872,182060
Grange Park Infant and Nursery School,509872,182060
Hillside Infant School,510151,191063
Hillside Junior School,510151,191063
Charville Primary School,509118,183116
St Andrew's CofE Primary School,505861,183737
Hayes Park School,509632,182266
Abbotsfield School,507810,183194
Harlington Community School,508630,178733
Northwood College,508952,191284
St Helen's School,509320,191707
St Martin's School,508553,192044
The Hall School,508556,191591
St Helen's College,507494,184058
St John's School,510553,191554
ACS Hillingdon International School,506849,183830
Chantry School,506128,180976
Meadow High School,506516,181711
RNIB Sunshine House School and Children's Home,508649,191759
Pield Heath House RC School,506469,182099
Hedgewood School,509342,182941
Alexandra Junior School,513950,176295
Alexandra Nursery and Infant School,513950,176295
Belmont Primary School,520690,178592
Cardinal Road Infant and Nursery School,510779,173152
Cavendish Primary School,521106,177281
Feltham Hill Junior School,509695,172161
Feltham Hill Infant and Nursery School,509664,172324
Grove Park Primary School,520137,177597
Victoria Junior School,510709,173046
Hounslow Heath Junior School,512374,175491
Hounslow Heath Infant and Nursery School,512200,175494
Hounslow Town Primary School,514456,175843
Isleworth Town Primary School,516139,176282
Lionel Primary School,518405,178577
Marlborough Primary School,516229,176881
Norwood Green Junior School,512552,178345
Norwood Green Infant and Nursery School,512552,178345
Southville Junior School,509787,173406
Southville Infant and Nursery School,509787,173406
Sparrow Farm Infant and Nursery School,511139,173878
Spring Grove Primary School,514791,176242
Springwell Junior School,512360,177029
Springwell Infant and Nursery School,512230,177125
Strand-on-the-Green Junior School,519493,177903
Strand-on-the-Green Infant and Nursery School,519493,177903
Wellington Primary School,512823,176312
Worple Primary School,516484,175406
Sparrow Farm Junior School,511338,173818
Oriel Primary School,511993,172056
Ivybridge Primary School,515922,174346
Westbrook Primary,512929,177231
Edward Pauling Primary School,509447,172812
The Smallberry Green Primary School,516226,176513
Grove Road Primary School,513110,175201
Beavers Community Primary School,511171,175731
Berkeley Primary School,511896,177485
The Blue School CofE Primary,516442,175825
St Paul's CofE Primary School,517794,177567
Our Lady and St John's RC Primary School,517184,178195
St Lawrence RC Primary School,510644,173014
"St Mary's RC Primary School, Isleworth",516294,175817
"St Mary's RC Primary School ,Chiswick",521077,178004
St Michael and St Martin RC Primary School,512686,175478
Hounslow Manor School,514089,175937
The Heathland School,512912,174456
The Green School,516420,176903
Gunnersbury Catholic School,517147,178506
Ashton House School,514928,176697
Chiswick and Bedford Park Preparatory School,521269,178963
International School of London,519294,178822
Arts Educational School,521410,178894
Marjory Kinnon School,509157,174531
Oaklands School,514912,175746
Lindon Bennett School,511658,171082
The Cedars Primary School,510424,177311
Surbiton Children's Centre Nursery,518730,167058
Mecklenburg Pupil Referral Unit,518141,170709
Malden Oaks PRU,517598,171668
Castle Hill Primary School,518673,164299
Burlington Junior School,521978,168166
Burlington Infant and Nursery School,521978,168166
Coombe Hill Infant School,520639,169833
Ellingham Primary School,517790,163452
Green Lane Primary and Nursery School,522843,166835
Knollmead Primary School,520229,165821
Robin Hood Primary School,521023,171423
Tolworth Junior School,518935,166180
Tolworth Infant and Nursery School,518935,166180
Coombe Hill Junior School,520639,169833
Maple Infant School,517909,167629
Alexandra Infant School,519149,170071
King Athelstan Primary School,518673,168767
Grand Avenue Primary and Nursery School,520005,167029
Malden Manor Primary and Nursery School,521203,166671
King's Oak Primary School,520150,168715
Lovelace Primary School,517260,164156
Christ Church New Malden CofE Primary School,521122,168871
Christ Church CofE Primary School,519292,167354
Malden Parochial CofE Primary School,521278,166253
St Andrew's and St Mark's CofE Junior School,517886,167577
St John's CofE Primary School,518372,168606
St Paul's CofE Primary School,518091,164804
St Paul's CofE Junior School,519245,170090
St Matthew's CofE Primary School,518442,166790
St Mary's CofE (Aided) Primary School,518544,163632
Corpus Christi Catholic Primary School,520525,168776
Our Lady Immaculate Catholic Primary School,519560,166315
St Joseph's Catholic Primary School,518683,169104
Chessington Community College,517780,163323
St Luke's CofE Primary School,518533,169913
Holy Cross Preparatory School,520151,170202
Shrewsbury House School,518017,165955
Surbiton High School,518037,168093
Rokeby Senior School,520348,170140
Linley House School,518547,167379
Marymount International School,520477,170137
Park Hill School,519383,170103
Study School,521190,167693
Westbury House School,520950,167912
Kingston Grammar School,518576,169292
Canbury School,519975,170843
Bedelsford School,518242,168766
St Philip's School,517844,163495
Dysart School,518548,166707
Benedict Primary School,527384,168662
Bond Primary School,527647,169328
Dundonald Primary School,524583,170095
Garfield Primary School,526333,170941
Beecholme Primary School,528624,169820
Hatfeild Primary School,524097,167361
Hollymount School,523143,169842
Joseph Hood Primary School,524278,168952
Links Primary School,528358,170616
Lonesome Primary School,528779,169447
Merton Abbey Primary School,525912,169823
Merton Park Primary School,525188,169312
Morden Primary School,525115,167495
Pelham Primary School,525429,170149
Haslemere Primary School,526653,169193
Poplar Primary School,525305,168616
St Mark's Primary School,527938,169123
The Sherwood School,529391,168221
Singlegate Primary School,526898,170310
Wimbledon Park Primary School,525490,172549
Abbotsbury Primary School,525610,167776
West Wimbledon Primary School,522774,168885
Cranmer Primary School,527753,168045
Gorringe Park Primary School,528303,169740
Hillcross Primary School,524580,168083
Liberty Primary,527324,169465
Stanford Primary School,529841,169520
William Morris Primary School,529940,168652
Wimbledon Chase Primary School,524394,169733
All Saints' CofE Primary School,526440,170412
St Matthew's CofE Primary School,522222,169895
Holy Trinity CofE Primary School,525562,170820
Bishop Gilpin CofE Primary School,524756,171337
St Peter and Paul Catholic Primary School,527570,168344
Sacred Heart Catholic Primary School,522517,168302
St Teresa's Catholic Primary School,526614,167197
St Mary's Catholic Primary School,525218,170279
St John Fisher RC Primary School,523499,167656
The Priory CofE School,525696,171091
Ricards Lodge High School,524833,171489
Raynes Park High School,522579,168610
Rutlish School,524743,169223
Wimbledon College,523764,170414
Ursuline High School Wimbledon,523684,169946
King's College School,523447,170678
The Rowans School,522454,170384
Ursuline Preparatory School,523748,170078
Donhead Preparatory School,523694,170288
The Study Preparatory School,523106,171216
Wimbledon Common Preparatory School,523649,170469
Wimbledon High School,524496,170805
The Norwegian School in London,523476,170090
Blossom House School,523283,170084
Melrose School,527196,168543
Perseid School,525601,167925
Cricket Green School,527454,168561
Edith Kerrison Nursery School,540813,181540
Kay Rowe Nursery School,540592,185236
Rebecca Cheetham Nursery Education Centre,539454,183758
Ronald Openshaw Nursery School,538708,185220
St Stephen's Nursery School,541432,184051
Sheringham Nursery School & Children's Centre,542932,185904
Oliver Thomas Nursery School,543287,183080
Tunmarsh School,541046,182696
Altmore Infant School,542856,183973
Avenue Primary School,542245,185458
Brampton Primary School,542007,182609
Carpenters Primary School,538398,183866
Curwen Primary and Nursery School,540218,183137
Dersingham Primary School,543043,185546
Drew Primary School,542185,180187
Earlham Primary School,539975,185050
Elmhurst Primary School,540776,184298
Gainsborough Primary School,539271,182593
Godwin Junior School,540818,185642
Woodgrange Infant School,540770,185541
Grange Primary School,540020,182582
Hallsville Primary School,540086,181251
Keir Hardie Primary School,540189,181656
Hartley Primary School,542283,183629
Kensington Primary School,542705,184585
Lathom Junior School,542505,184073
Manor Primary School,539324,183434
Maryland Primary School,539321,185350
Monega Primary School,541786,184933
Ranelagh Primary School,539467,183286
Nelson Primary School,543095,183520
New City Primary School,541501,182628
Odessa Infant School,540061,185325
Park Primary School,539834,184464
Ravenscroft Primary School,540424,182089
Roman Road Primary School,541930,182305
Rosetta Primary School,540767,181590
Salisbury Primary School,542023,185410
Shaftesbury Primary School,541365,184317
William Davies Primary School,541666,184618
Star Primary School,539316,182153
St Stephen's Primary School,541460,184085
Tollgate Primary School,541266,182067
Upton Cross Primary School,540922,183771
Winsor Primary School,543168,181099
Colegrave Primary School,538884,185166
Sheringham Primary School,542881,185860
Selwyn Primary School,540476,183882
Southern Road Primary School,540863,183247
Scott Wilkie Primary School,541491,181453
Calverton Primary School,541781,181109
Ellen Wilkinson Primary School,542018,181658
Cleves Primary School,541805,183725
North Beckton Primary School,542828,181864
Vicarage Primary School,543049,182891
Essex Primary School,542530,185044
St James' CofE Junior School,540032,185275
West Ham Church Primary School,539554,183926
St Luke's Primary School,539835,181317
St Edward's Catholic Primary School,541402,183516
St Francis' Catholic Primary School,539224,185147
St Helen's RC Primary School,540040,182405
St Joachim's RC Primary School,541025,181159
St Michael's Catholic Primary School,542793,183259
St Winefride's RC Primary School,542878,185343
Forest Gate Community School,540379,185369
Little Ilford School,542804,185152
Rokeby School,538907,184055
Lister Community School,540718,183445
Langdon School,543611,183507
Plashet School,542240,184286
Cumberland School,541221,182249
Eastlea Community School,539444,182328
Sarah Bonnell School,539346,184654
St Angela's Ursuline School,540773,184542
St Bonaventure's RC School,540513,184161
Grangewood Independent School,541632,184281
John F Kennedy Special School,538945,183986
Eleanor Smith School,540544,183221
The Constance Bridgeman Centre,546930,188916
Manford Primary School,545550,192178
Cleveland Junior School,543934,186014
Cleveland Infants' School,543934,186014
Downshall Primary School,545380,187830
Farnham Green Primary School,546200,188029
Fairlop Primary School,544192,191047
Gilbert Colvin Primary School,543461,190547
Glade Primary School,542650,190425
Goodmayes Primary School,546708,187076
Gordon Infants' School,544788,186235
Mossford Green Primary School,544165,190115
Newbury Park Primary School,544596,188392
Uphall Primary School,543775,185266
William Torbitt Primary School,545540,188715
Woodlands Infants' School,544578,185418
Aldersbrook Primary School,541125,186994
Roding Primary School,542424,191453
Wells Primary School,540456,192807
Snaresbrook Primary School,540315,189359
Fullwood Primary School,544155,189394
Woodlands Junior School,544578,185418
Grove Primary School,547031,188780
Chadwell Primary School,547180,187680
Coppice Primary School,546421,192504
John Bramston Primary School,546040,191731
Nightingale Primary School,541049,189312
Barley Lane Primary School,546558,187778
Wanstead Church School,540388,188596
St Augustine's Catholic Primary School,543825,188898
Our Lady of Lourdes RC Primary School,540060,188136
St Antony's Catholic Primary School,540248,192755
St Bede's Catholic Primary School,547407,188602
St Aidan's Catholic Primary School,544933,187367
Ilford Jewish Primary School,544774,189738
St Peter and Paul's Catholic Primary School,544785,186425
Caterham High School,542915,190310
Ilford County High School,543973,190161
Wanstead High School,541203,188279
Woodford County High School,539868,191750
Loxford School of Science and Technology,544939,185448
Woodbridge High School,540912,191083
Beal High School,542242,189440
Seven Kings High School,544664,187577
Valentines High School,543321,188179
Mayfield School,547083,187196
Trinity Catholic High School,540024,192805
King Solomon High School,544699,190369
St Aubyn's School,539763,191276
St Joseph's Convent School,540256,188050
Woodford Green Primary School,540321,191924
Beehive Preparatory School,542703,188907
Cranbrook,543387,186895
Eastcourt Independent School,546287,187466
Snaresbrook Preparatory School,540224,190025
Avon House School,540350,192593
Park School for Girls,543525,187038
Ilford Ursuline Preparatory School,543481,186903
Bancrofts School,540401,193151
Ilford Grammar School,546107,187357
Little Heath School,546878,189381
The New Rush Hall School,544261,190979
Hatton School and Special Needs Centre,541831,189775
Windham Nursery School,518898,175784
Carlisle Infant School,513869,170613
Darell Primary School,519250,175818
East Sheen Primary School,521285,175422
Hampton Hill Junior School,514112,171081
Hampton Junior School,513235,169868
Hampton Infant School and Nursery,513018,170153
Hampton Wick Infant and Nursery School,517532,170164
Heathfield Junior School,513394,173248
Heathfield Infant School,513394,173248
Lowther Primary School,522410,177538
Meadlands Primary School,517185,171944
Nelson Primary School,513961,173953
Orleans Primary School,516703,173951
The Russell Primary School,517944,173070
Sheen Mount Primary School,519841,174974
Stanley  Primary School,515113,171842
Trafalgar Junior School,514919,172760
Trafalgar Infant School,514711,173067
Barnes Primary School,521592,175859
Collis Primary School,516542,170589
Buckingham Primary School,512947,171078
Chase Bridge Primary School,515056,174072
The Vineyard School,518398,174135
St Richard's Church of England Primary School,516930,172209
Holy Trinity Church of England Primary School,519243,175207
St Mary Magdalen's Catholic Primary School,520835,175871
St Elizabeth's Catholic Primary School,518753,174350
St John the Baptist Church of England Junior School,517589,170065
St Edmund's Catholic Primary School,514038,173919
St James's Roman Catholic Primary School,515032,172224
St Mary's Church of England Primary School,516330,173617
St Stephen's Church of England Primary School,516561,174436
Sacred Heart Roman Catholic Primary School,516805,170375
St Mary's and St Peter's Church of England Primary School,515540,171316
Bishop Perrin Church of England Primary School,513638,173464
St Osmund's Catholic Primary School,521943,176497
Archdeacon Cambridge's Church of England Primary School,515342,172754
The Queen's Church of England Primary School,519102,177063
Christ's Church of England Comprehensive Secondary School,519020,174697
King's House School,518688,174757
The Lady Eleanor Holles School,513491,171133
The Mall School,514845,172213
Newland House School,515871,171814
The Old Vicarage School,518061,174407
St Catherine's School,516026,172811
Tower House School,520405,175156
Broomfield House School,518971,176919
Jack and Jill School,513361,170852
Kew College,519208,177131
Athelstan House School,513222,169931
St Paul's School,522371,178089
Twickenham Preparatory School,514018,169694
Unicorn School,518813,176672
The German School,517895,173170
Hampton School,513337,171228
The Royal Ballet School,530315,181042
The Swedish School,522453,177860
The Harrodian School,521878,177313
Clarendon School,513794,170755
Strathmore School,517794,173014
Spencer Nursery School,528036,166609
Thomas Wall Nursery School,525346,164285
The Limes College,525311,164378
Bandon Hill Primary School,529709,163766
Barrow Hedges Primary School,527177,163046
Avenue Primary School,525167,162352
Camden Junior School,527686,164924
Cheam Common Junior School,522737,165542
Cheam Common Infants' School,522692,165586
Cheam Fields Primary School,524043,164365
Cheam Park Farm Infants' School,524385,165473
Abbey Primary School,525466,166535
Green Wrythe Primary School,526946,167074
Hackbridge Primary School,528356,165994
High View Primary School,530312,164261
Beddington Park Primary School,530018,165401
Devonshire Primary School,526158,163242
Manor Park Primary School,526232,164329
Brookfield Primary School,524295,166033
Victor Seymour Infants' School,527847,165009
Robin Hood Infants' School,525346,164285
Dorchester Primary School,523168,166077
Beddington Infants' School,529235,164934
Robin Hood Junior School,525681,164483
Nonsuch Primary School,522823,164316
Foresters Primary School,529920,163508
Amy Johnson Primary School,530311,163120
Rushy Meadow Primary School,527257,165440
All Saints Benhilton CofE Primary School,525958,165272
Holy Trinity CofE Junior School,529111,164812
St Dunstan's Cheam CofE Primary School,524094,163448
St Cecilia's Catholic Primary School,523838,165769
St Mary's RC Junior School,527711,164439
St Mary's RC Infants School,527676,164638
St Elphege's RC Junior School,530448,163557
St Elphege's RC Infants' School,530448,163557
Stanley Park High School,528314,163485
All Saints Carshalton Church of England Primary School,528271,164496
Stanley Park Junior School,527976,163354
Stanley Park Infants' School,527976,163354
The John Fisher School,530067,162365
St Philomena's School,527515,164392
Homefield Preparatory School,525194,164148
Collingwood School,528741,164187
Seaton House School,526728,162409
Sutton High School,525585,163965
Carew Manor School,529621,165296
Sherwood Park School,529824,165077
Low Hall Nursery School and Children's Centre,536563,188420
Church Hill Nursery and Childrens Centre,537687,189179
Acacia Nursery,539513,186451
Chase Lane Primary School,536921,192595
Longshaw Primary School,538891,193249
Whitehall Primary School,539324,193740
Davies Lane Primary School,539547,186984
Downsell Primary School,538836,185859
Newport School,538459,186807
Sybourn Primary School,536802,187550
Chapel End Junior School,537656,190679
Chapel End Infant School and Early Years Centre,537672,190662
Edinburgh Primary School,536981,188402
Greenleaf Primary School,536934,189703
Handsworth Primary School,538751,191778
Thorpe Hall Primary School,538521,190659
The Winns Primary School,536923,190087
Riverley Primary School,537412,187139
Woodford Green Primary School,540020,192313
Oakhill Primary School,539165,191657
Henry Maynard Primary School,538297,188936
South Grove Primary School,536606,188446
Dawlish Primary School,538088,187043
Gwyn Jones Primary School,538916,187934
George Tomlinson Primary School,539334,187180
Thomas Gamuel Primary School,537162,188106
Mission Grove Primary School,536596,188984
Coppermill Primary School,535896,188751
Stoneydown Park School,536127,189272
Buxton School,539733,186151
Parkside Primary School,537559,193679
Jenny Hammond Primary School,539267,185908
Chingford CofE Voluntary Controlled Junior School,538881,194233
Chingford CofE Voluntary Controlled Infants' School,538678,194104
St Mary's Catholic Primary School,538762,194384
St Joseph's Catholic Junior School,537581,187369
St Patrick's Catholic Primary School,536095,189171
St Saviour's Church of England Primary School,536614,187993
St Joseph's Catholic Infant School,537163,186973
St Mary's Walthamstow CofE Voluntary Aided Primary School,537718,189429
Frederick Bremer School,537329,190515
George Mitchell School,537766,187341
Heathcote Secondary School & Science College,539369,193857
Norlington School for Boys,538589,187271
Willowfield Humanities College,535992,189540
Leytonstone Business and Enterprise Specialist School,539160,188230
Walthamstow School for Girls,537693,189250
Kelmscott School,536724,188142
Holy Family Catholic School,538138,189746
Whitefield Schools and Centre,538491,190298
Forest School,539305,189326
Hyland House School,538980,190144
Normanhurst School,538986,194556
Joseph Clarke School,538838,191663
St Mary's and St John's CofE Primary School,522884,188901
St Paul's Academy,546278,179196
Hospital and Home Tuition Unit,526753,171243
Date Valley School,527673,168632
Springfield Community Primary School,534184,188188
Cotelands PRU Co John Ruskin College,536572,163170
Apex Primary School,544294,184351
Redbridge Primary School,542260,188915
The Elmgreen School,531889,172768
Park Campus,532327,171620
Wembley Primary School,518376,186130
Thomas's Fulham,525608,175776
The Children's House Upper School,533221,185096
Rushmore Primary School,535500,185850
Gayhurst Community School,534450,184386
Monteagle Primary School,546880,183956
Christopher Hatton Primary School,531069,182107
Ainslie Wood Primary School,537822,192180
Arnhem Wharf Primary School,537091,179221
Richard Alibon Primary School with ARP for Cognitive and Learning Difficulties : SEN Base,549230,185430
Alexandra Primary School,530642,190171
Sandringham Primary School,541183,185020
Thomas's Clapham,527983,174496
City Lit,530540,181228
The Working Men's College,529378,183461
The Mary Ward Centre (AE Centre),530406,181888
Greenwich Community College at Plumstead Centre,544439,178911
Hackney Community College,533326,183062
"Ealing, Hammersmith and West London College",524088,178503
City and Islington College,530471,185923
Kensington and Chelsea College,526059,177468
St Charles Catholic Sixth Form College,523928,181778
Morley College,531293,179353
Lambeth College,529237,174992
The Marine Society College of the Sea,530852,179082
Lewisham College,537215,176209
Christ The King Sixth Form College,538842,175760
Tower Hamlets College,537729,180726
Workers' Educational Association,533092,182169
South Thames College,525815,174588
Westminster Kingsway College,530614,182571
St Francis Xavier Sixth Form College,528672,174188
City of Westminster College,526718,181651
Barking and Dagenham College,550830,186844
Barnet and Southgate College,524585,196408
Woodhouse College,526894,191882
Bexley College,550345,178554
The College of North West London,521914,185110
Bromley College of Further and Higher Education,541685,167255
Croydon College,532615,165558
Coulsdon Sixth Form College,531095,157960
John Ruskin College,536384,163149
Capel Manor College,534422,199697
"The College of Haringey, Enfield and North East London",533641,189244
Stanmore College,517067,191821
St Dominic's Sixth Form College,515044,186580
Havering College of Further and Higher Education,554042,189284
Havering Sixth Form College,554857,186979
Uxbridge College,506243,184562
West Thames College,515233,176440
Kingston College,518021,168911
Newham College of Further Education,542627,183429
Newham Sixth Form College,540937,182308
Redbridge College,546930,188916
Richmond-upon-Thames College,515279,173797
Carshalton College,527818,165192
Waltham Forest College,537933,189920
Leyton Sixth Form College,538488,188245
Sir George Monoux College,537680,190387
Tashbar of Edgware,519102,191863
Abbey Manor College,540762,174817
Newbridge School,546697,188876
Paddington Academy,525518,182268
Ridgeway Primary School,533464,162449
Bessemer Grange Primary School,533015,175043
Godwin Primary School,548443,184276
Middle Park Primary School,541724,173671
Timbercroft Primary School,545264,177428
William Patten Primary School,533537,186525
Brettenham Primary School,534451,192789
Muschamp Primary School and Language Opportunity Base,527341,165792
The Hyde School,521470,188530
Russet House School,534522,197759
Central Park Primary School,541903,183146
Hasmonean Primary School,523711,188555
Highlands Primary School,542552,187390
Stephen Hawking School,536313,181188
Beis Soroh Schneirer,522038,188284
Promised Land Academy,540338,182445
Oakwood School,531891,160733
Barn Croft Primary School,536237,188187
Brondesbury College London,524031,184135
The Petchey Academy,533788,185403
Richmond Adult Community College,518005,175296
Stroud Green Primary School,531286,187275
Fern Hill Primary School,518141,170709
Trinity School,549068,185966
Culvers House Primary School,528211,166309
Discovery Primary School,545486,180007
Oakwood School,550721,175133
Talmud Torah Tiferes Shlomoh,524148,187733
Finchley and Acton Yochien School,524719,190449
Burbage School,533197,183412
Kennington Park Bridge To School,531571,177681
Grange Primary School,517751,179695
Hillingdon Primary School,507561,182530
The Fulham Preparatory School Limited,524397,177903
Beis Aharon School,533185,187559
South Rise Primary School,544713,178425
Havering KS4 PRU,551922,188320
Green Gables Montessori Primary School,534831,180704
The Woodbridge Park Education Service,515783,176760
Behaviour Support Service,528973,195443
Montem Primary School,530782,186383
The Moriah Jewish Day School,512051,187476
Cavendish School,535379,178763
James Wolfe Primary School and Centre for the Deaf,538073,177440
Bonneville Primary School,529358,174325
Ayesha Community School,522147,187851
Westminster Academy,525509,181766
Phil Edwards Pupil Referral Unit,533713,169821
St James Junior School,524403,178848
Virgo Fidelis Convent Senior School,532588,170889
Wentworth Tutorial College,523927,188384
The Academy School,526729,185626
Maytime Preparatory School,543305,186498
Mayespark Primary School,546124,186315
Ray Lodge Primary School,541627,191783
Elthorne Park High School,516061,179272
Whitchurch Junior School,517594,191239
Surrey Square Primary School,533192,178386
Newington Green Primary School,532981,185349
Rosendale Primary School,532270,173625
Rowdown Primary School,538912,162307
Hill Mead Primary School,531580,175364
Beis Trana Girls' School,534573,187057
The Lyceum,533010,182129
Educare Small School,518366,169729
Menorah Foundation School,520316,191325
St Paul's Steiner School,532669,184817
Jamiatul Ummah School,534817,181092
Browns School,548873,164181
London Jewish Girls' High School,523157,188902
Oakthorpe Primary School,532141,192284
St Mary's RC Primary School,525146,183353
The Mawney School,550728,188893
Mustard School,533428,183482
Poplar Grove School,520484,188052
Spring Park Primary School,537228,165357
Earlham Primary School,531072,191060
"Sacred Heart Catholic Primary School, Battersea",527416,176084
Chesterfield School,536204,198589
Bickley Primary School,541346,168987
Primary Pupil Referral Unit,525887,176415
Pinner Wood School,511186,190637
Haringey Tuition Centre,533690,190223
The R J Mitchell Primary School,552937,184858
Nightingale School,527169,172937
Lordship Lane Primary School,532029,190582
Ian Mikardo School,537887,182528
The Cherry Trees School,537437,182567
The Bridge Academy,533752,183613
Britannia Village Primary School,540674,180244
Wessex Gardens Primary School,524174,187396
Cranbrook Primary School,542630,187782
Winston Way Primary School,544347,186548
Cherry Lane Primary School,506940,178704
West Grove Primary School,529794,194765
The Chelsea Group of Children,526213,172869
New Mind School,531264,176128
The Moat School,524167,176390
Clore Tikva School,544180,190430
Islington Arts and Media School,530684,187037
Belmont Park School,538126,188236
Betty Layward Primary School,532879,186072
Kingsdown Secondary School,534960,160161
Thornton Heath Children's Centre,532630,168142
Selhurst Early Years Centre,532985,167413
Bruce Grove Primary School,533636,190050
Harry Gosling Primary School,534299,181195
Rotherfield Primary School,532543,183917
Poole's Park Primary School,530937,186804
Pinkwell Primary School,508426,178846
Darul Hadis Latifiah,535110,182631
Harris Academy Bermondsey,534017,178910
Claremont Primary School,523635,186708
Burlington Danes Academy,522925,181489
The Study Centre,516600,180700
London Bunka Yochien School,520329,181400
Park View,532381,189320
Maple House School,532292,168458
Canonbury Primary School,531811,184603
