EstablishmentName,Easting,Northing
Greenside Primary School,522430,179776
All Saints CofE Primary School,524167,176390
Holy Cross RC School,525175,176754
John Betts Primary School,522568,179018
St Augustine's RC Primary School,524414,177667
St Johns Walham Green Church of England Primary School,524468,176864
St Mary's Catholic Primary School,523932,179282
St Paul's CofE Primary School,523176,178344
St Peter's Primary School,522274,178492
St Stephen's CofE Primary School,523106,180001
Good Shepherd RC Primary School,521890,179649
Pope John RC School,522736,180735
St Thomas of Canterbury Catholic Primary School,524581,177345
Phoenix High School,522377,180823
Hurlingham and Chelsea Secondary School,525368,175859
St Paul's Girls' School,523743,178859
Corona Theatre School,512858,169744
Bute House Preparatory School,523536,178930
The Godolphin and Latymer School,522972,178861
Latymer Upper School,522457,178593
Ecole Francaise Jacques Prevert,523811,178942
Al-Muntada Islamic School,524991,176794
Ravenscourt Park Preparatory School,522386,178711
Sinclair House School,524356,176939
L'Ecole des Petits School,525738,176341
Le Herisson School,522559,178561
Queensmill School,525419,176228
Woodlane High School,522820,181248
Jack Tizard School,522684,180419
Cambridge School,522891,178876
Margaret McMillan Nursery School,529985,187573
Kate Greenaway Nursery School and Children's Centre,530441,183608
North Islington Nursery School,530859,186986
New River College KS3 PRU,529580,186846
Paradise Park Pupil Referral Unit,531243,183843
New River College KS4,531243,183843
Ambler Primary School,531678,186560
Copenhagen Primary School,530584,183537
Drayton Park Primary School,531433,185329
Duncombe Primary School,530146,187006
Gillespie Primary School,531802,186280
Grafton Primary School,530483,186145
Hanover Primary School,531982,183273
Hargrave Park Primary School,529082,186622
Laycock Primary School,531535,184551
Moreland Primary School,531942,182766
Pakeman Primary School,530838,186121
Robert Blair Primary School,530342,184544
Thornhill Primary School,531173,184131
Vittoria Primary School,530952,183516
Winton Primary School,530634,183172
Yerbury Primary School,529695,186359
Tufnell Park Primary School,529772,185609
Highbury Quadrant Primary School,532387,185620
Ashmount Primary School,530090,187755
Prior Weston Primary School and Children's Centre,532376,182029
Hungerford Primary School and Children's Centre,529995,184974
Clerkenwell Parochial CofE Primary School,531189,182756
Sacred Heart RC Primary School,530896,185179
St John Evangelist RC Primary School,531600,183377
St John's Upper Holloway CofE Primary School,529508,186512
St John's Highbury Vale CofE Primary School,531758,186077
St Joseph's RC Primary School,528892,187162
St Jude and St Paul's CofE Primary School,533263,184936
St Luke's CofE Primary School,532463,182576
St Mark's CofE Primary School,530342,186726
St Mary's CofE Primary School,531845,184012
St Peter and St Paul RC Primary School,531847,182367
St Andrew's (Barnsbury) Church of England Primary School,530855,183827
St Joan of Arc RC Primary School,532024,185906
Christ The King RC Primary School,530746,186961
Blessed Sacrament RC Primary School,530554,183629
Highbury Grove School,531981,185153
Holloway School,529750,185518
Highbury Fields School,531721,185476
Elizabeth Garrett Anderson Language College,531007,183248
Central Foundation Boys' School,532888,182441
St Aloysius RC College,529090,187296
Mount Carmel RC Technology College for Girls,529728,187094
Italia Conti Academy of Theatre Arts,532064,182084
Dallington School,531874,182346
The Charterhouse Square School,531998,181875
Richard Cloudesley PH School,532218,182247
Samuel Rhodes MLD School,531243,183843
Golborne Children's Centre,524508,181712
St Anne's Nursery School,523612,180946
Chelsea Open Air Nursery School and Children's Centre,527203,177835
Maxilla Nursery School,523883,181209
The Latimer Education Centre/Pupil Referral Unit,523612,180946
Ashburnham Community School,526554,177396
Barlby Primary School,523831,181997
Bevington Primary School,524414,181794
Bousfield Primary School,526029,178368
Colville Primary School,524779,181067
Fox Primary School,525233,180251
Marlborough Primary School,527432,178683
Middle Row Primary School,524136,182280
Oxford Gardens Primary School,523676,181272
Park Walk Primary School,526612,177707
Avondale Park Primary School,524052,180593
Thomas Jones Primary School,524214,181162
Christ Church CofE Primary School,527556,177871
Holy Trinity CofE Primary School,528059,178778
Oratory Roman Catholic Primary School,527141,178427
St Thomas' CofE Primary School,524351,182075
St Barnabas and St Philip's CofE Primary School,525153,179172
Saint Francis of Assisi Catholic Primary School,523827,180762
St Clement and St James CofE Primary School,524226,180422
St Joseph RC Primary School,527685,178707
St Mary Abbots CofE Primary School,525573,179680
St Cuthbert with St Matthias CofE Primary School,525509,178268
Saint Mary RC Primary School,524221,182203
Servite RC Primary School,526204,177810
Holland Park School,524948,179954
Saint Thomas More Language College,527685,178707
Sion-Manning RC Girls' School,523952,181650
Our Lady of Victories RC Primary School,526486,178667
St Charles RC Primary School,523928,181778
The Cardinal Vaughan Memorial RC School,524213,179844
Redcliffe School,526010,177915
Glendower Preparatory School,526502,178797
Kensington Prep School,524946,176910
Norland Place School,524211,180097
Queen's Gate School,526555,178883
Bassett House School,523767,181435
Sussex House School,527728,178892
St Philip's School,526259,178659
Hill House School,527797,179194
Wetherby School,525308,180690
Falkner House,526362,178482
More House School,527841,179203
Garden House School,527991,178367
