Address3,County (name),EstablishmentName,Gender (name),LA (name),Locality,Postcode,StatutoryHighAge,StatutoryLowAge,Street,Town,TypeOfEstablishment (name),Easting,Northing,lat,lng
,,St Mary's School,Mixed,Camden,Hampstead,NW3 6PG,11,2,47 Fitzjohn's Avenue,London,Other Independent School,526543,185092,51.55053613812342,-0.17629292139926897
,,North Bridge House School,Mixed,Camden,,NW3 5RR,7,5,8 Netherhall Gardens,London,Other Independent School,526368,184811,51.54805002340659,-0.17891635695209596
,,Hereward House School,Boys,Camden,,NW3 4NY,12,5,14 Strathray Gardens,London,Other Independent School,527001,184495,51.54506820221132,-0.16990626328563063
,,St Anthony's Preparatory School,Boys,Camden,Hampstead,NW3 6NP,13,4,90 Fitzjohn's Avenue,London,Other Independent School,526536,185454,51.5537909373114,-0.17626371943780147
,,North Bridge House,Mixed,Camden,,NW3 5JY,6,2,33 Fitzjohn's Avenue,London,Other Independent School,526549,184913,51.54892615132078,-0.17627076414872792
,,Lyndhurst House Preparatory School,Boys,Camden,Hampstead,NW3 5NW,13,4,24 Lyndhurst Gardens,London,Other Independent School,526875,185297,51.55230393850763,-0.1714333454736258
Hampstead,,Hampstead Hill School,Mixed,Camden,Pond Street,NW3 2PP,8,2,St Stephens Hall,London,Other Independent School,527085,185400,51.55318235377074,-0.1683689516580749
,,North Bridge House Senior School,Mixed,Camden,,NW1 7AB,16,11,1 Gloucester Avenue,London,Other Independent School,528627,183598,51.536639187705816,-0.14679844241935466
,,Trevor-Roberts School,Mixed,Camden,,NW3 3ET,13,4,55-57 Eton Avenue,London,Other Independent School,526981,184414,51.54434476765491,-0.17022372563087154
,,South Hampstead High School,Girls,Camden,,NW3 5SS,18,4,3 Maresfield Gardens,London,Other Independent School,526491,184607,51.546189173306345,-0.1772167037347396
,,The Village School,Girls,Camden,Belsize Park,NW3 2YN,11,3,2 Parkhill Road,London,Other Independent School,527781,184808,51.54770512944945,-0.15855060061389067
,,Heathside Preparatory School,Mixed,Camden,Hampstead,NW3 1JA,11,3,16 New End,London,Other Independent School,526506,185985,51.5585696609724,-0.1765053499216406
,,Devonshire House Preparatory School,Mixed,Camden,Hampstead,NW3 6AE,13,2,2 Arkwright Road,London,Other Independent School,526456,185413,51.55344039963148,-0.17743171391122053
,,Broadhurst School,Mixed,Camden,,NW6 3LP,6,2,19 Greencroft Gardens,London,Other Independent School,526211,184422,51.54458924330143,-0.18131876609384148
Kentish Town,,College Francais Bilingue De Londres,Mixed,Camden,,NW5 3AX,15,5,87 Holmes Road,London,Other Independent School,528672,184981,51.54905752761002,-0.1456447999495362
,,Royal School Hampstead,Girls,Camden,Hampstead,NW3 5UD,16,3,65 Rosslyn Hill,London,Other Independent School,526640,185531,51.55445960609846,-0.17473677406376256
,,Fine Arts College,Mixed,Camden,Belsize Park,NW3 4PG,19,13,24 Lambolle Place,London,Other Independent School,527362,184681,51.54665845522165,-0.164635913225303
,,Rainbow Montessori School,Mixed,Camden,,NW6 3PL,12,5,13 Woodchurch Road,London,Other Independent School,525526,184221,51.54293552215272,-0.191263317224697
,,The Mulberry House School,Mixed,Camden,,NW2 3XL,7,2,68 Shoot Up Hill,London,Other Independent School,524350,185100,51.55109519762921,-0.2079021971587526
,,The Phoenix School,Mixed,Camden,,NW3 5LF,7,3,36 College Crescent,London,Other Independent School,526485,184553,51.54570522769746,-0.17732257756475406
,,Southbank International School,Mixed,Camden,,NW3 5TH,14,3,16 Netherhall Gardens,London,Other Independent School,526368,184950,51.5492991946016,-0.17886647570830913
,,Frank Barnes School for Deaf Children,Mixed,Camden,,N1C 4PF,11,2,105 Camley Street,London,Community Special School,526914,184112,51.541645808384374,-0.17129819129922572
,,Chalcot School,Boys,Camden,,NW1 8DP,16,11,Harmood Street,London,Community Special School,528594,184450,51.54430336450393,-0.14696298920852077
,,Royal Free Hospital Children's School,Mixed,Camden,Pond Street,NW3 2QG,19,5,Floor 6 - 6 West B,London,Community Special School,527297,185410,51.55322446743046,-0.16530923863462474
,,Swiss Cottage School - Development & Research Centre,Mixed,Camden,,NW8 6HX,19,2,80 Avenue Road,London,Community Special School,526914,184029,51.540899902603975,-0.1713280925046551
,,Rachel McMillan Nursery School,Mixed,Greenwich,Deptford,SE8 3EH,5,3,McMillan Street,London,LA Nursery School,537362,177674,51.48134945444625,-0.02323850045492878
,,Pound Park Nursery School,Mixed,Greenwich,Charlton,SE7 8AF,5,3,Pound Park Road,London,LA Nursery School,541837,178429,51.48703015982427,0.04146530916606455
,,Abbey Wood Nursery School,Mixed,Greenwich,,SE2 0SX,5,3,Dahlia Road,London,LA Nursery School,546762,178508,51.486484318232286,0.11238069085617909
,,Robert Owen Early Years Centre,Mixed,Greenwich,Greenwich,SE10 0EA,5,3,43 Commerell Street,London,LA Nursery School,539393,178453,51.487853052613026,0.006297866629559908
Greenwich,,Newhaven Pupil Referral Unit,Mixed,Greenwich,Eltham,SE9 6HR,16,5,Newhaven Gardens,London,Pupil Referral Unit,541731,175472,51.46048569281812,0.03875456230898928
,,Millennium Primary School,Mixed,Greenwich,Greenwich,SE10 0BG,11,3,50 John Harrison Way,London,Community School,539725,179099,51.493576096548466,0.011331978291640938
,,Alderwood Primary School,Mixed,Greenwich,Eltham,SE9 2JH,11,3,Rainham Close,London,Community School,545054,174230,51.44848449498861,0.0860445454154475
,,Bannockburn Primary School,Mixed,Greenwich,,SE18 1HE,11,3,Plumstead High Street,London,Community School,545529,178546,51.48714415955123,0.09465071834872191
,,Morden Mount Primary School,Mixed,Greenwich,,SE13 7QP,11,3,Lewisham Road,London,Community School,538003,176437,51.47007774798327,-0.014496227417486341
,,Cherry Orchard Primary School,Mixed,Greenwich,Marlborough Lane,SE7 7DG,11,3,Rectory Field Crescent,London,Community School,541222,177219,51.476311098984134,0.03213020570221434
,,Ealdham Primary School,Mixed,Greenwich,Eltham,SE9 6BP,11,3,Ealdham Square,London,Community School,541517,175119,51.45736718903016,0.0355351150389254
,,Fossdene Primary School,Mixed,Greenwich,Charlton,SE7 7NQ,11,3,Victoria Way,London,Community School,540841,178110,51.484412408992895,0.027002726578472573
,,Gallions Mount Primary School,Mixed,Greenwich,Plumstead,SE18 1JR,11,3,Purrett Road,London,Community School,545821,178268,51.48457104436741,0.09873859871031146
,,Gordon Primary School,Mixed,Greenwich,Eltham,SE9 1QG,11,3,Earlshall Road,London,Community School,542832,175288,51.45855578748239,0.0545176176502635
,,Greenacres Primary School and Language Impairment Unit,Mixed,Greenwich,Eltham,SE9 3JN,11,3,Witherston Way,London,Community School,543070,172575,51.43411740740265,0.056845117855866226
,,Haimo Primary School,Mixed,Greenwich,Eltham,SE9 6DY,11,3,Haimo Road,London,Community School,541948,174911,51.455390317743635,0.0416510395307994
,,Halstow Primary School,Mixed,Greenwich,Greenwich,SE10 0LD,11,5,Halstow Road,London,Community School,540019,178163,51.48509260543554,0.015193247119268574
,,Henwick Primary School,Mixed,Greenwich,Eltham,SE9 6NZ,11,3,Henwick Road,London,Community School,542011,175689,51.46236548963335,0.04286931818570486
,,Horn Park Primary School,Mixed,Greenwich,Lee,SE12 9BT,11,3,Alnwick Road,London,Community School,540826,173663,51.44445587399854,0.025016927545589644
,,Invicta Primary School,Mixed,Greenwich,,SE3 7HE,11,3,Invicta Road,London,Community School,540412,177493,51.478974697571395,0.02058335435593947
,,Kidbrooke Park Primary School,Mixed,Greenwich,Kidbrooke,SE3 8HS,11,3,Hargood Road,London,Community School,541246,176520,51.470024007146534,0.032196382788593415
,,Meridian Primary School,Mixed,Greenwich,Greenwich,SE10 9NY,11,3,Old Woolwich Road,London,Community School,538861,177987,51.48379635418327,-0.00154260495343019
,,Plumcroft Primary School,Mixed,Greenwich,Plumstead,SE18 3HW,11,3,Plum Lane,London,Community School,544151,177486,51.47797209779586,0.07438538743360007
,,Sherington Primary School,Mixed,Greenwich,Charlton,SE7 7JP,11,3,Wyndcliff Road,London,Community School,540764,177627,51.48009139030299,0.025702176959045284
,,Thorntree Primary School,Mixed,Greenwich,,SE7 8AE,11,3,Thorntree Road,London,Community School,541865,178397,51.48673559729395,0.04185546411914184
,,Woodhill Primary School,Mixed,Greenwich,,SE18 5JE,11,3,Woodhill,London,Community School,542375,178697,51.48930324831671,0.04931665467138244
,,Wyborne Primary School,Mixed,Greenwich,New Eltham,SE9 2EH,11,3,Footscray Road,London,Community School,543932,173264,51.440090395705006,0.06951711046736053
,,Brooklands Primary School,Mixed,Greenwich,Casterbridge Road,SE3 9AB,11,3,Medebourne Close,London,Community School,540311,175836,51.46411006692657,0.01847255974778366
,,Montbelle Primary School,Mixed,Greenwich,Eltham,SE9 3EY,11,4,Milverton Way,London,Community School,543480,171884,51.42780466284228,0.062459656159593466
,,Boxgrove Primary School,Mixed,Greenwich,Abbey Wood,SE2 9JP,11,3,Boxgrove Road,London,Community School,547069,179278,51.49332333489905,0.11711957848242116
,,Rockliffe Manor Primary School,Mixed,Greenwich,,SE18 2NP,11,3,Bassant Road,London,Community School,545525,177585,51.47851014364932,0.0941974809763432
,,De Lucy Primary School,Mixed,Greenwich,Abbey Wood,SE2 9PD,11,3,Cookhill Road,London,Community School,546656,179560,51.49596440388288,0.11129184088512727
,,Wingfield Primary School,Mixed,Greenwich,,SE3 9XU,11,3,Moorehead Way,London,Community School,540576,175577,51.4617170082427,0.022181928985041965
,,Cardwell Primary School,Mixed,Greenwich,Woolwich,SE18 5LP,11,3,Frances Street,London,Community School,542625,178829,51.49042640944652,0.05296832470617343
,,Foxfield Primary School,Mixed,Greenwich,,SE18 7EX,11,3,Sandbach Place,London,Community School,544122,178461,51.48674043564055,0.07436563302627013
,,Windrush Primary School,Mixed,Greenwich,Thamesmead,SE28 8AR,11,3,2 Bentham Road,London,Community School,546939,180338,51.50288156258719,0.11568938871647855
,,Heronsgate Primary School,Mixed,Greenwich,,SE28 0EA,11,3,Whinchat Road,London,Community School,544736,179402,51.49503912980844,0.08358811538446502
,,Linton Mead Primary School,Mixed,Greenwich,Thamesmead,SE28 8DT,11,3,Central Way,London,Community School,546738,180895,51.507938574961145,0.11302708504826378
,,Nightingale Primary School,Mixed,Greenwich,Plumstead,SE18 7JJ,11,3,Bloomfield Road,London,Community School,543887,178056,51.48316105825918,0.0708184914043247
,,Greenslade Primary School,Mixed,Greenwich,Plumstead Common,SE18 2QQ,11,3,Erindale,London,Community School,544981,177699,51.47967407108542,0.08641617233241387
,,Mulgrave Primary School,Mixed,Greenwich,Woolwich,SE18 5DL,11,3,Rectory Place,London,Community School,543186,178646,51.48864036291591,0.060969098470045155
,,Charlton Manor Primary School,Mixed,Greenwich,,SE7 7EF,11,3,Indus Road,London,Community School,541549,177353,51.47743353920544,0.036889247574946715
,,Christ Church Church of England Primary School,Mixed,Greenwich,Greenwich,SE10 0DZ,11,4,45 Commerell Street,London,Voluntary Aided School,539398,178485,51.488139371956166,0.00638245806151896
Shooters Hill,,"Christ Church Church of England Primary School, Shooters Hill",Mixed,Greenwich,Red Lion Lane,SE18 4LD,11,5,C/O Post 16 Campus,London,Voluntary Aided School,543337,177003,51.473838697468764,0.06247625004963863
,,Eltham Church of England Primary School,Mixed,Greenwich,Eltham,SE9 1TR,11,4,Roper Street,London,Voluntary Aided School,542989,174524,51.451651081122094,0.05646729865635997
,,Our Lady of Grace Catholic Primary School,Mixed,Greenwich,Charlton,SE7 7EZ,11,4,145 Charlton Road,London,Voluntary Aided School,540913,177594,51.47975778754842,0.027833261141441155
,,St Joseph's Catholic Primary School,Mixed,Greenwich,,SE10 9AN,11,5,Commerell Street,London,Voluntary Aided School,539329,178289,51.48639511293304,0.005312020188662307
,,St Margaret's Church of England Primary School,Mixed,Greenwich,Plumstead,SE18 7RL,11,3,St Margaret's Grove,London,Voluntary Aided School,544274,178095,51.48341298709806,0.07640388066321331
,,Saint Mary Magdalene Church of England Primary School,Mixed,Greenwich,Woolwich,SE18 5PW,11,3,Kingsman Street,London,Voluntary Aided School,543204,178925,51.491142806350766,0.06134126123624199
,,St Mary's Catholic Primary School,Mixed,Greenwich,Eltham,SE9 1UF,11,3,Glenure Road,London,Voluntary Aided School,543505,174748,51.45353343903578,0.06397899242664316
,,St Patrick's Catholic Primary School,Mixed,Greenwich,Plumstead,SE18 7QG,11,3,Griffin Road,London,Voluntary Aided School,544893,178594,51.48773864960795,0.08551674572605097
,,St Alfege with St Peter's Church of England Primary School,Mixed,Greenwich,Greenwich,SE10 9RB,11,3,3 - 11 Creek Road,London,Voluntary Aided School,538127,177732,51.481684498974126,-0.012206244560229243
,,St Peter's Catholic Primary School,Mixed,Greenwich,,SE18 7BN,11,5,Crescent Road,London,Voluntary Aided School,543728,178491,51.48711019963688,0.06870716191927363
,,St Thomas More Catholic Primary School,Mixed,Greenwich,,SE9 6NS,11,4,Appleton Road,London,Voluntary Aided School,542156,175625,51.461754028693235,0.044929452913587124
,,St Thomas A Beckett Roman Catholic Primary School,Mixed,Greenwich,Abbey Wood,SE2 9LY,11,3,Mottisfont Road,London,Voluntary Aided School,546166,179075,51.49173328583012,0.10403752377986265
Greenwich,,Holy Family Catholic Primary School,Mixed,Greenwich,Kidbrooke,SE3 9YX,11,3,Tudway Road,London,Voluntary Aided School,541151,175396,51.459947580347205,0.030381153386357145
,,Notre Dame Catholic Primary School,Mixed,Greenwich,,SE18 3SJ,11,5,169 Eglinton Road,London,Voluntary Aided School,543633,177821,51.481113944769554,0.06706756680521324
,,St Margaret Clitherow Catholic Primary School,Mixed,Greenwich,Thamesmead,SE28 8GB,11,3,Cole Close,London,Voluntary Aided School,546767,180139,51.501138135794015,0.11313033701346834
,,Bishop John Robinson Church of England Primary School,Mixed,Greenwich,Thamesmead,SE28 8LW,11,3,Hoveton Road,London,Voluntary Aided School,547142,180957,51.50839069319059,0.11887005205482261
,,Eltham Hill School,Girls,Greenwich,,SE9 5EE,19,11,Eltham Hill,London,Community School,542250,174421,51.450911536130555,0.04579781983789796
,,Plumstead Manor School,Girls,Greenwich,,SE18 1QF,19,11,Old Mill Road,London,Community School,544831,178057,51.482929289581264,0.08440432207405878
,,Woolwich Polytechnic School for Boys,Boys,Greenwich,Thamesmead,SE28 8AT,19,11,Hutchins Road,London,Community School,546432,180397,51.503543180272494,0.10841443563536353
,,Crown Woods College,Mixed,Greenwich,Eltham,SE9 2QN,18,11,145 Bexley Road,London,Community School,544345,174937,51.455018361338155,0.07613700674338542
,,Thomas Tallis School,Mixed,Greenwich,Kidbrooke,SE3 9PX,19,11,Kidbrooke Park Road,London,Community School,540856,175919,51.464720629173556,0.026345892292874977
,,The John Roan School,Mixed,Greenwich,Blackheath,SE3 7UD,18,11,Maze Hill,London,Voluntary Controlled School,539473,177429,51.478631712233486,0.0070452711679307245
