Address3,County (name),EstablishmentName,Gender (name),LA (name),Locality,Postcode,StatutoryHighAge,StatutoryLowAge,Street,Town,TypeOfEstablishment (name),Easting,Northing,lat,lng
Harold Hill,Essex,Ravensbourne School,Mixed,Havering,Faringdon Avenue,RM3 8HN,19,2,Neave Crescent,Romford,Community Special School,553748,190796,51.59503335394596,0.21828144913681322
,,McMillan Nursery School,Mixed,Hillingdon,,UB3 2PB,5,3,Judge Heath Lane,Hayes,LA Nursery School,508547,181007,51.51756590982064,-0.4369885445267559
,,Hillingdon Tuition Centre,Mixed,Hillingdon,Yiewsley,UB7 8HJ,16,11,Providence Road,West Drayton,Pupil Referral Unit,506465,180317,51.51175989384296,-0.4671910453149057
,,Bourne Primary School,Mixed,Hillingdon,South Ruislip,HA4 6UJ,11,3,Cedar Avenue,Ruislip,Community School,511334,184924,51.55222955626296,-0.39560143030646044
,,Breakspear Junior School,Mixed,Hillingdon,,UB10 8JA,11,7,Bushey Road,Ickenham,Community School,507406,186808,51.56992384963744,-0.45165761722594405
,,Colham Manor Primary School,Mixed,Hillingdon,Hillingdon,UB8 3PT,11,3,Violet Avenue,Uxbridge,Community School,507071,181457,51.52189201506053,-0.45811587799772585
,,Coteford Infant School,Mixed,Hillingdon,Eastcote,HA5 2HX,7,5,Fore Street,Pinner,Community School,510186,188456,51.58419998075667,-0.4110459191705024
,Middlesex,Deanesfield Primary School,Mixed,Hillingdon,,HA4 0LR,11,3,Queen's Walk,Ruislip,Community School,511664,185752,51.55960632205295,-0.3905811875555644
,,Field End Junior School,Mixed,Hillingdon,Eastcote,HA4 9PQ,11,7,Field End Road,Ruislip,Community School,511795,186560,51.56684254503356,-0.38843555160657095
,Middlesex,Field End Infant School,Mixed,Hillingdon,Eastcote,HA4 9PQ,7,3,Field End Road,Ruislip,Community School,511795,186560,51.56684254503356,-0.38843555160657095
,,Glebe Primary School,Mixed,Hillingdon,Ickenham,UB10 8PH,11,3,Sussex Road,Uxbridge,Community School,508488,185552,51.55842795375681,-0.43643930521865426
,,Harefield Junior School,Mixed,Hillingdon,Harefield,UB9 6BJ,11,7,Park Lane,Uxbridge,Community School,505112,190547,51.603962560613446,-0.48362593303274387
,,Harefield Infant School,Mixed,Hillingdon,Harefield,UB9 6BT,7,3,High Street,Uxbridge,Community School,505050,190544,51.603947153683656,-0.4845217371558773
,,Harlyn Primary School,Mixed,Hillingdon,,HA5 2DR,11,3,Tolcarne Drive,Pinner,Community School,510753,189845,51.59657303156806,-0.4024278463123691
,,Harmondsworth Primary School,Mixed,Hillingdon,Harmondsworth,UB7 0AU,11,3,School Road,West Drayton,Community School,505655,177525,51.48681647643145,-0.47969411648777355
,,Heathrow Primary School,Mixed,Hillingdon,Sipson,UB7 0JQ,11,4,Harmondsworth Lane,West Drayton,Community School,506988,177916,51.490080500576596,-0.4603847845310869
,,Lady Bankes Junior School,Mixed,Hillingdon,Ruislip Manor,HA4 9SF,11,7,Dawlish Drive,Ruislip,Community School,510453,186919,51.570333408788386,-0.4076767066267597
,,Lady Bankes Infant School,Mixed,Hillingdon,,HA4 9SF,7,3,Dawlish Drive,Ruislip,Community School,510453,186919,51.570333408788386,-0.4076767066267597
,,Laurel Lane Primary School,Mixed,Hillingdon,,UB7 7TX,11,3,Laurel Lane,West Drayton,Community School,506047,178913,51.49921890926214,-0.47363393275487264
,,Minet Junior School,Mixed,Hillingdon,,UB3 3NR,11,7,Avondale Drive,Hayes,Community School,510563,180360,51.51136008172428,-0.40814842933589474
,,Minet Nursery and Infant School,Mixed,Hillingdon,,UB3 3NR,7,3,Avondale Drive,Hayes,Community School,510563,180360,51.51136008172428,-0.40814842933589474
,,Newnham Junior School,Mixed,Hillingdon,,HA4 9RW,11,7,Newnham Avenue,Ruislip,Community School,511440,187433,51.5747591120824,-0.39327861258418273
,,Newnham Infant and Nursery School,Mixed,Hillingdon,,HA4 9RW,7,3,Newnham Avenue,Ruislip,Community School,511440,187433,51.5747591120824,-0.39327861258418273
,,Ryefield Primary School,Mixed,Hillingdon,Hillingdon,UB10 9DE,11,5,Ryefield Avenue,Uxbridge,Community School,508478,183834,51.54298842846012,-0.43711273595390804
,,West Drayton Primary School,Mixed,Hillingdon,,UB7 9EA,11,3,Kingston Lane,West Drayton,Community School,506530,179594,51.50524916584988,-0.4664729286600519
,,Whitehall Junior School,Mixed,Hillingdon,,UB8 2LX,11,7,Cowley Road,Uxbridge,Community School,505413,183387,51.53955092823327,-0.4814272175811448
,,Whiteheath Junior School,Mixed,Hillingdon,,HA4 7PR,11,7,Whiteheath Avenue,Ruislip,Community School,508248,187992,51.58040478494685,-0.4391490551167367
,,William Byrd School,Mixed,Hillingdon,Harlington,UB3 5EW,11,3,Victoria Lane,Hayes,Community School,508532,177907,51.48970564001385,-0.43815749493188916
,,Yeading Junior School,Mixed,Hillingdon,,UB4 0NR,11,7,Carlyon Road,Hayes,Community School,511190,181608,51.52245408605734,-0.39872374216060164
,,Yeading Infant and Nursery School,Mixed,Hillingdon,Yeading Lane,UB4 0NR,7,3,Carlyon Road,Hayes,Community School,511203,181551,51.52193921787852,-0.398554414309512
,Middlesex,Hermitage Primary School,Mixed,Hillingdon,,UB8 1RB,11,3,Belmont Road,Uxbridge,Community School,505909,184499,51.54945305315123,-0.47394378874326004
,,Brookside Primary School,Mixed,Hillingdon,,UB4 9LW,11,5,Perth Avenue,Hayes,Community School,511435,182524,51.5306387543337,-0.39490441109891394
,,Highfield Primary School,Mixed,Hillingdon,Hillingdon,UB10 0DB,11,3,Charville Lane West,Uxbridge,Community School,507941,182886,51.53457058180039,-0.44514365843748144
,,Rabbsfarm Primary School,Mixed,Hillingdon,Yiewsley,UB7 8AH,11,4,Gordon Road,West Drayton,Community School,506026,180857,51.51669601882325,-0.473352480391978
,,Warrender Primary School,Mixed,Hillingdon,,HA4 8QG,11,3,Old Hatch Manor,Ruislip,Community School,509964,187686,51.57732262427448,-0.41448963638059494
,,Breakspear Infant and Nursery School,Mixed,Hillingdon,Ickenham,UB10 8JA,7,3,Bushey Road,Uxbridge,Community School,507406,186808,51.56992384963744,-0.45165761722594405
,,Whitehall Infant School,Mixed,Hillingdon,,UB8 2LX,7,3,Cowley Road,Uxbridge,Community School,505413,183387,51.53955092823327,-0.4814272175811448
,,Whiteheath Infant and Nursery School,Mixed,Hillingdon,,HA4 7RF,7,3,Ladygate Lane,Ruislip,Community School,508115,188074,51.581167305083426,-0.44104252206681904
,,Frithwood Primary School,Mixed,Hillingdon,,HA6 3NJ,11,3,Carew Road,Northwood,Community School,509709,191703,51.61347659642209,-0.4169132848391983
,,Ruislip Gardens Primary School,Mixed,Hillingdon,,HA4 6PD,11,3,Stafford Road,Ruislip,Community School,509599,185939,51.561691720754695,-0.420299122959363
,,Bishop Winnington-Ingram CofE Primary School,Mixed,Hillingdon,,HA4 7LW,11,4,Southcote Rise,Ruislip,Voluntary Aided School,508573,187712,51.577825697357525,-0.4345470195892878
,,Holy Trinity CofE Primary School,Mixed,Hillingdon,,HA6 2RH,11,3,Rickmansworth Road,Northwood,Voluntary Aided School,508306,191749,51.614161450970386,-0.4371536986159137
,,Dr Triplett's CofE Primary School,Mixed,Hillingdon,,UB3 2JQ,11,3,Hemmen Lane,Hayes,Voluntary Aided School,509973,181078,51.51792850525418,-0.41642315016869214
,,St Swithun Wells Catholic Primary School,Mixed,Hillingdon,South Ruislip,HA4 9HS,11,3,Hunters Hill,Ruislip,Voluntary Aided School,511551,186256,51.56415852432893,-0.3920508029854384
,,Botwell House Catholic Primary School,Mixed,Hillingdon,,UB3 2AB,11,4,Botwell Lane,Hayes,Voluntary Aided School,509698,179936,51.507717601636806,-0.4207398717637132
,,St Bernadette Catholic Primary School,Mixed,Hillingdon,Hillingdon,UB10 0EH,11,3,160 Long Lane,Uxbridge,Voluntary Aided School,507524,183487,51.54005194064115,-0.450970003062327
,,St Catherine Catholic Primary School,Mixed,Hillingdon,,UB7 7NX,11,3,Money Lane,West Drayton,Voluntary Aided School,505676,179425,51.50389032731389,-0.47882342591429494
,,St Mary's Catholic Primary School,Mixed,Hillingdon,,UB8 2UA,11,3,Rockingham Close,Uxbridge,Voluntary Aided School,505028,183848,51.54376621609233,-0.4868390324424561
,,Sacred Heart Catholic Primary School,Mixed,Hillingdon,,HA4 6EZ,11,3,Herlwyn Avenue,Ruislip,Voluntary Aided School,509289,186608,51.56776476600757,-0.424561578750249
,,Oak Farm Infant School,Mixed,Hillingdon,Hillingdon,UB10 9PD,7,5,Windsor Avenue,Uxbridge,Foundation School,507730,183934,51.5440303775809,-0.44786413886266213
,,Oak Farm Junior School,Mixed,Hillingdon,Hillingdon,UB10 9PD,11,7,Windsor Avenue,Uxbridge,Foundation School,507730,183934,51.5440303775809,-0.44786413886266213
,,Grange Park Junior School,Mixed,Hillingdon,,UB4 8SF,11,7,Lansbury Drive,Hayes,Foundation School,509872,182060,51.526774354532904,-0.41757228748153374
,,Grange Park Infant and Nursery School,Mixed,Hillingdon,,UB4 8SF,7,3,Lansbury Drive,Hayes,Foundation School,509872,182060,51.526774354532904,-0.41757228748153374
,Middlesex,Hillside Infant School,Mixed,Hillingdon,,HA6 1RX,7,3,Northwood Way,Northwood,Foundation School,510151,191063,51.607638156409664,-0.4107332444857658
,,Hillside Junior School,Mixed,Hillingdon,,HA6 1RX,11,7,Northwood Way,Northwood,Foundation School,510151,191063,51.607638156409664,-0.4107332444857658
,,Charville Primary School,Mixed,Hillingdon,,UB4 8LF,11,3,Bury Avenue,Hayes,Foundation School,509118,183116,51.53641177462789,-0.42810992800989267
,,St Andrew's CofE Primary School,Mixed,Hillingdon,,UB8 2BX,11,3,Nursery Waye,Uxbridge,Voluntary Aided School,505861,183737,51.542613040398685,-0.4748647963193746
,Middlesex,Hayes Park School,Mixed,Hillingdon,,UB4 8BE,11,3,Raynton Drive,Hayes,Foundation School,509632,182266,51.5286724841128,-0.42096642633955117
,Middlesex,Abbotsfield School,Boys,Hillingdon,Hillingdon,UB10 0EX,18,11,Clifton Gardens,Uxbridge,Foundation School,507810,183194,51.53736392536974,-0.44693738335578875
,,Harlington Community School,Mixed,Hillingdon,Harlington,UB3 1PB,18,11,Pinkwell Lane,Hayes,Foundation School,508630,178733,51.49711102969786,-0.43649256593001107
,Middlesex,Northwood College,Girls,Hillingdon,,HA6 2YE,19,3,Maxwell Road,Northwood,Other Independent School,508952,191284,51.60985753963689,-0.42797188317391993
,,St Helen's School,Girls,Hillingdon,,HA6 3AS,18,3,Eastbury Road,Northwood,Other Independent School,509320,191707,51.613588149683004,-0.42252786176001916
,,St Martin's School,Boys,Hillingdon,,HA6 2DJ,12,3,40 Moor Park Road,Northwood,Other Independent School,508553,192044,51.616765358810184,-0.4334965121693226
,,The Hall School,Mixed,Hillingdon,Rickmansworth Road,HA6 2RB,7,1,The Grange,Northwood,Other Independent School,508556,191591,51.612693251441186,-0.4335933656178811
,,St Helen's College,Mixed,Hillingdon,Hillingdon,UB10 9JX,11,3,Parkway,Uxbridge,Other Independent School,507494,184058,51.5451898604925,-0.45122818772977474
,,St John's School,Boys,Hillingdon,Wieland Road,HA6 3QY,13,2,Potter Street Hill,Northwood,Other Independent School,510553,191554,51.61197246002637,-0.40477585632142266
,,ACS Hillingdon International School,Mixed,Hillingdon,Hillingdon,UB10 0BE,19,4,108 Vine Lane,Uxbridge,Other Independent School,506849,183830,51.5432629362382,-0.46059514668667884
,,Chantry School,Mixed,Hillingdon,Yiewsley,UB7 8AB,16,11,Falling Lane,West Drayton,Foundation Special School,506128,180976,51.51774648416401,-0.4718472439383457
,,Meadow High School,Mixed,Hillingdon,Hillingdon,UB8 3QU,19,11,Royal Lane,Uxbridge,Community Special School,506516,181711,51.52427985789779,-0.4660355452370545
,Middlesex,RNIB Sunshine House School and Children's Home,Mixed,Hillingdon,,HA6 2DD,11,2,33 Dene Road,Northwood,Non-Maintained Special School,508649,191759,51.61418529870084,-0.4321987582354277
,,Pield Heath House RC School,Mixed,Hillingdon,,UB8 3NW,19,7,Pield Heath Road,Uxbridge,Non-Maintained Special School,506469,182099,51.52777613387601,-0.46659560885564233
,,Hedgewood School,Mixed,Hillingdon,,UB4 8NF,11,5,Weymouth Road,Hayes,Community Special School,509342,182941,51.534795571267644,-0.4249358873792292
,,Alexandra Junior School,Mixed,Hounslow,,TW3 4DU,11,7,Denbigh Road,Hounslow,Community School,513950,176295,51.47415242438621,-0.3606734882503933
,,Alexandra Nursery and Infant School,Mixed,Hounslow,,TW3 4DU,7,3,Denbigh Road,Hounslow,Community School,513950,176295,51.47415242438621,-0.3606734882503933
,,Belmont Primary School,Mixed,Hounslow,Chiswick,W4 5UL,11,3,Belmont Road,London,Community School,520690,178592,51.49340002224279,-0.262890240100439
,,Cardinal Road Infant and Nursery School,Mixed,Hounslow,,TW13 5AL,7,3,Cardinal Road,Feltham,Community School,510779,173152,51.44653220469977,-0.40729536552500806
,,Cavendish Primary School,Mixed,Hounslow,Chiswick,W4 2RG,11,3,Edensor Road,London,Community School,521106,177281,51.48152876832277,-0.25735018601493864
,,Feltham Hill Junior School,Mixed,Hounslow,,TW13 4QP,11,7,Ashford Road,Feltham,Community School,509695,172161,51.43783576260274,-0.42319424361186425
,,Feltham Hill Infant and Nursery School,Mixed,Hounslow,Lower Feltham,TW13 4LZ,7,3,Bedfont Road,Feltham,Community School,509664,172324,51.43930682774226,-0.42358962370065
,,Grove Park Primary School,Mixed,Hounslow,Chiswick,W4 3JN,11,3,Nightingale Close,London,Community School,520137,177597,51.48457525008356,-0.2711903370481122
,,Victoria Junior School,Mixed,Hounslow,,TW13 4AQ,11,7,Victoria Road,Feltham,Community School,510709,173046,51.44559314452695,-0.4083353546922475
,,Hounslow Heath Junior School,Mixed,Hounslow,Cambridge Road,TW4 7BD,11,7,Selwyn Close,Hounslow,Community School,512374,175491,51.467241068758184,-0.38361106719648125
,,Hounslow Heath Infant and Nursery School,Mixed,Hounslow,,TW4 7HE,7,3,Martindale Road,Hounslow,Community School,512200,175494,51.46730252593596,-0.38611399646425537
,,Hounslow Town Primary School,Mixed,Hounslow,,TW3 1SR,11,3,Pears Road,Hounslow,Community School,514456,175843,51.469987896983014,-0.35353735513546214
,,Isleworth Town Primary School,Mixed,Hounslow,,TW7 6AB,11,3,Twickenham Road,Isleworth,Community School,516139,176282,51.473590872981156,-0.3291738208709853
,,Lionel Primary School,Mixed,Hounslow,,TW8 9QT,11,3,Lionel Road North,Brentford,Community School,518405,178577,51.493747944876375,-0.2957938989756199
,,Marlborough Primary School,Mixed,Hounslow,,TW7 5XA,11,3,London Road,Isleworth,Community School,516229,176881,51.47895602074294,-0.32768169408206094
,,Norwood Green Junior School,Mixed,Hounslow,,UB2 5RN,11,7,Thorncliffe Road,Southall,Community School,512552,178345,51.49285719409026,-0.3801411062702794
,,Norwood Green Infant and Nursery School,Mixed,Hounslow,,UB2 5RN,7,3,Thorncliffe Road,Southall,Community School,512552,178345,51.49285719409026,-0.3801411062702794
,Middlesex,Southville Junior School,Mixed,Hounslow,,TW14 9NP,11,7,Bedfont Lane,Feltham,Community School,509787,173406,51.449008187371376,-0.421485412706204
,,Southville Infant and Nursery School,Mixed,Hounslow,,TW14 9NP,7,3,Bedfont Lane,Feltham,Community School,509787,173406,51.449008187371376,-0.421485412706204
,,Sparrow Farm Infant and Nursery School,Mixed,Hounslow,,TW14 0DB,7,3,Denham Road,Feltham,Community School,511139,173878,51.45298705382105,-0.4018894137009705
,,Spring Grove Primary School,Mixed,Hounslow,,TW7 4HB,11,3,Star Road,Isleworth,Community School,514791,176242,51.473506218188916,-0.3485869805152207
,,Springwell Junior School,Mixed,Hounslow,Heston,TW5 0AG,11,7,Vicarage Farm Road,Hounslow,Community School,512360,177029,51.48106727065841,-0.3833239324812819
,Middlesex,Springwell Infant and Nursery School,Mixed,Hounslow,Heston,TW5 9EF,7,3,Speart Lane,Hounslow,Community School,512230,177125,51.48195589620733,-0.38516473754886954
,,Strand-on-the-Green Junior School,Mixed,Hounslow,Chiswick,W4 3NX,11,7,Thames Road,London,Community School,519493,177903,51.48746171842638,-0.2803571236642252
,,Strand-on-the-Green Infant and Nursery School,Mixed,Hounslow,Chiswick,W4 3NX,7,3,Thames Road,London,Community School,519493,177903,51.48746171842638,-0.2803571236642252
,,Wellington Primary School,Mixed,Hounslow,,TW3 4LB,11,3,Sutton Lane,Hounslow,Community School,512823,176312,51.4745308777573,-0.37688808391462436
,,Worple Primary School,Mixed,Hounslow,,TW7 7DB,11,3,Queens Terrace,Isleworth,Community School,516484,175406,51.46564682009282,-0.32449712795273705
,,Sparrow Farm Junior School,Mixed,Hounslow,,TW14 0DG,11,7,Sparrow Farm Drive,Feltham,Community School,511338,173818,51.452408711602416,-0.3990455165408551
,,Oriel Primary School,Mixed,Hounslow,Hanworth,TW13 6QQ,11,3,Hounslow Road,Feltham,Community School,511993,172056,51.43644280410569,-0.3901799871559032
,,Ivybridge Primary School,Mixed,Hounslow,Mogden Lane,TW7 7QB,11,3,Summerwood Road,Isleworth,Community School,515922,174346,51.456235134484494,-0.3329310358435351
,,Westbrook Primary,Mixed,Hounslow,Heston,TW5 0NB,11,3,Westbrook Road,Hounslow,Community School,512929,177231,51.482769609005494,-0.3750689897743501
,,Edward Pauling Primary School,Mixed,Hounslow,,TW13 4TQ,11,3,Redford Close,Feltham,Community School,509447,172812,51.443734978988594,-0.426559712360859
,,The Smallberry Green Primary School,Mixed,Hounslow,,TW7 5BF,11,3,Turnpike Way,Isleworth,Community School,516226,176513,51.47564917548253,-0.3278458291309607
,,Grove Road Primary School,Mixed,Hounslow,,TW3 3QQ,11,3,Cromwell Road,Hounslow,Community School,513110,175201,51.46448808703193,-0.37311269409605147
,,Beavers Community Primary School,Mixed,Hounslow,,TW4 6HR,11,3,Arundel Road,Hounslow,Community School,511171,175731,51.46963557774764,-0.40084706882459453
,,Berkeley Primary School,Mixed,Hounslow,Heston,TW5 9HQ,11,3,Cranford Lane,Hounslow,Community School,511896,177485,51.485257666934764,-0.38985863629863954
,,The Blue School CofE Primary,Mixed,Hounslow,,TW7 6RQ,11,3,North Street,Isleworth,Voluntary Aided School,516442,175825,51.4694212885399,-0.3249635772910583
,,St Paul's CofE Primary School,Mixed,Hounslow,,TW8 0PN,11,3,St Paul's Road,Brentford,Voluntary Aided School,517794,177567,51.48479804600803,-0.3049276758718958
,,Our Lady and St John's RC Primary School,Mixed,Hounslow,,TW8 9JF,11,3,Boston Park Road,Brentford,Voluntary Aided School,517184,178195,51.49056885940203,-0.313500452761486
,,St Lawrence RC Primary School,Mixed,Hounslow,,TW13 4FF,11,3,Victoria Road,Feltham,Voluntary Aided School,510644,173014,51.44531821669817,-0.40928027470405887
,,"St Mary's RC Primary School, Isleworth",Mixed,Hounslow,,TW7 7EE,11,3,South Street,Isleworth,Voluntary Aided School,516294,175817,51.46937979570326,-0.32709598314508515
,,"St Mary's RC Primary School ,Chiswick",Mixed,Hounslow,Chiswick,W4 2DF,11,3,Duke Road,London,Voluntary Aided School,521077,178004,51.48803280833219,-0.25751993298242665
,,St Michael and St Martin RC Primary School,Mixed,Hounslow,,TW4 7AG,11,3,Belgrave Road,Hounslow,Voluntary Aided School,512686,175478,51.46706224191084,-0.3791255029586057
,,Hounslow Manor School,Mixed,Hounslow,,TW3 1NE,18,11,Prince Regent Road,Hounslow,Community School,514089,175937,51.470906799651395,-0.3587884569870839
,,The Heathland School,Mixed,Hounslow,,TW4 5JD,18,11,Wellington Road South,Hounslow,Community School,512912,174456,51.45783159516889,-0.376199411295685
,,The Green School,Girls,Hounslow,,TW7 5BB,18,11,Busch Corner,Isleworth,Voluntary Aided School,516420,176903,51.47911450697984,-0.32492531659809687
,,Gunnersbury Catholic School,Boys,Hounslow,Boston Manor Road,TW8 9LB,18,11,The Ride,Brentford,Voluntary Aided School,517147,178506,51.493371656786515,-0.3139300217741482
,,Ashton House School,Mixed,Hounslow,,TW7 4LW,11,3,50-52 Eversley Crescent,Isleworth,Other Independent School,514928,176697,51.477567859052485,-0.3464674386347381
Bedford Park,,Chiswick and Bedford Park Preparatory School,Mixed,Hounslow,Priory Avenue,W4 1TX,11,3,Priory House,London,Other Independent School,521269,178963,51.49661052306606,-0.25442678125549223
,,International School of London,Mixed,Hounslow,,W3 8LG,18,3,139 Gunnersbury Avenue,London,Other Independent School,519294,178822,51.495763150195884,-0.28291157964313673
Chiswick,,Arts Educational School,Mixed,Hounslow,Turnham Green Park,W4 1LY,18,11,14 Bath Road,London,Other Independent School,521410,178894,51.495960162510194,-0.25242032642059903
,,Marjory Kinnon School,Mixed,Hounslow,Bedfont,TW14 9QZ,16,4,Hatton Road,Feltham,Community Special School,509157,174531,51.45924154241784,-0.43020096848328765
,,Oaklands School,Mixed,Hounslow,,TW7 6JZ,19,11,Woodlands Road,Isleworth,Community Special School,514912,175746,51.469023747518186,-0.34700669651860316
,,Lindon Bennett School,Mixed,Hounslow,Hanworth,TW13 6ST,11,3,Main Street,Feltham,Community Special School,511658,171082,51.427754518826966,-0.39530419911017767
,Middlesex,The Cedars Primary School,Mixed,Hounslow,Cranford,TW5 9RU,11,5,High Street,Hounslow,Community Special School,510424,177311,51.48398281179645,-0.41110381459373246
,Surrey,Surbiton Children's Centre Nursery,Mixed,Kingston upon Thames,,KT5 8RS,5,3,Alpha Road,Surbiton,LA Nursery School,518730,167058,51.39015214649606,-0.29497446636267455
,Surrey,Mecklenburg Pupil Referral Unit,Mixed,Kingston upon Thames,Richmond Road,KT2 5PE,16,11,North Kingston Centre,Kingston upon Thames,Pupil Referral Unit,518141,170709,51.423088915077784,-0.30222078381768364
,Surrey,Malden Oaks PRU,Mixed,Kingston upon Thames,Dukes Avenue,KT2 5QY,16,11,The Dukes Centre,Kingston upon Thames,Pupil Referral Unit,517598,171668,51.43182090237582,-0.3097087668257094
,Surrey,Castle Hill Primary School,Mixed,Kingston upon Thames,,KT9 1JE,11,3,Buckland Road,Chessington,Community School,518673,164299,51.36536706730832,-0.2967139351000457
,Surrey,Burlington Junior School,Mixed,Kingston upon Thames,,KT3 4LT,11,7,Burlington Road,New Malden,Community School,521978,168166,51.39942194244073,-0.2479366102072166
,Surrey,Burlington Infant and Nursery School,Mixed,Kingston upon Thames,,KT3 4LT,7,3,Burlington Road,New Malden,Community School,521978,168166,51.39942194244073,-0.2479366102072166
,Surrey,Coombe Hill Infant School,Mixed,Kingston upon Thames,,KT2 7DD,7,5,Coombe Lane West,Kingston upon Thames,Community School,520639,169833,51.41469017920719,-0.2666088284739346
,Surrey,Ellingham Primary School,Mixed,Kingston upon Thames,,KT9 2JA,11,3,Ellingham Road,Chessington,Community School,517790,163452,51.35793808504803,-0.30967196577630085
,Surrey,Green Lane Primary and Nursery School,Mixed,Kingston upon Thames,,KT4 8AS,11,3,Green Lane,Worcester Park,Community School,522843,166835,51.38727326899518,-0.23596868748763974
,Surrey,Knollmead Primary School,Mixed,Kingston upon Thames,Tolworth,KT5 9QP,11,3,Knollmead,Surbiton,Community School,520229,165821,51.378719200547586,-0.27385947596887183
,,Robin Hood Primary School,Mixed,Kingston upon Thames,Kingston Vale,SW15 3QL,11,3,Bowness Crescent,London,Community School,521023,171423,51.428898440481134,-0.26054725811595936
,Surrey,Tolworth Junior School,Mixed,Kingston upon Thames,,KT6 7SA,11,7,Douglas Road,Surbiton,Community School,518935,166180,51.38221810564882,-0.2923233589997607
,Surrey,Tolworth Infant and Nursery School,Mixed,Kingston upon Thames,Tolworth,KT6 7SA,7,3,School Lane,Surbiton,Community School,518935,166180,51.38221810564882,-0.2923233589997607
,Surrey,Coombe Hill Junior School,Mixed,Kingston upon Thames,,KT2 7DD,11,7,Coombe Lane West,Kingston upon Thames,Community School,520639,169833,51.41469017920719,-0.2666088284739346
,Surrey,Maple Infant School,Mixed,Kingston upon Thames,,KT6 4AL,7,3,Maple Road,Surbiton,Community School,517909,167629,51.39545515603993,-0.3065789329375434
,Surrey,Alexandra Infant School,Mixed,Kingston upon Thames,,KT2 6SE,7,3,Alexandra Road,Kingston upon Thames,Community School,519149,170071,51.41714403259813,-0.28794449276169953
,Surrey,King Athelstan Primary School,Mixed,Kingston upon Thames,,KT1 3AR,11,3,Villiers Road,Kingston upon Thames,Community School,518673,168767,51.40552393480916,-0.29522235283639325
,Surrey,Grand Avenue Primary and Nursery School,Mixed,Kingston upon Thames,,KT5 9HU,11,3,Grand Avenue,Surbiton,Community School,520005,167029,51.389623542932576,-0.2766686874298734
,Surrey,Malden Manor Primary and Nursery School,Mixed,Kingston upon Thames,,KT3 5PF,11,3,Sheephouse Way,New Malden,Community School,521203,166671,51.386151637023026,-0.25958166876900934
,Surrey,King's Oak Primary School,Mixed,Kingston upon Thames,,KT3 3RZ,11,3,Dickerage Lane,New Malden,Community School,520150,168715,51.404745881148116,-0.2740155265189196
,Surrey,Lovelace Primary School,Mixed,Kingston upon Thames,Hook,KT9 2RN,11,3,Mansfield Road,Chessington,Community School,517260,164156,51.36437503753162,-0.3170483993872278
,Surrey,Christ Church New Malden CofE Primary School,Mixed,Kingston upon Thames,,KT3 3TW,11,3,Lime Grove,New Malden,Voluntary Aided School,521122,168871,51.4059413620217,-0.2599950671123972
,Surrey,Christ Church CofE Primary School,Mixed,Kingston upon Thames,,KT5 8LJ,11,5,Pine Gardens,Surbiton,Voluntary Aided School,519292,167354,51.39269471691583,-0.2868018497516497
,Surrey,Malden Parochial CofE Primary School,Mixed,Kingston upon Thames,,KT4 7LW,11,3,The Manor Drive,Worcester Park,Voluntary Aided School,521278,166253,51.382378860066225,-0.25864698769815486
,Surrey,St Andrew's and St Mark's CofE Junior School,Mixed,Kingston upon Thames,,KT6 4AL,11,7,Maple Road,Surbiton,Voluntary Aided School,517886,167577,51.39499257104636,-0.3069266282563559
,Surrey,St John's CofE Primary School,Mixed,Kingston upon Thames,,KT1 2SG,11,3,Portland Road,Kingston upon Thames,Voluntary Aided School,518372,168606,51.40413977077075,-0.29960142655775535
,Surrey,St Paul's CofE Primary School,Mixed,Kingston upon Thames,,KT9 1AJ,11,5,Orchard Road,Chessington,Voluntary Aided School,518091,164804,51.370027072189735,-0.30490245253250076
,Surrey,St Paul's CofE Junior School,Mixed,Kingston upon Thames,,KT2 6AZ,11,7,Princes Road,Kingston upon Thames,Voluntary Aided School,519245,170090,51.417294629646186,-0.2865582360260033
,Surrey,St Matthew's CofE Primary School,Mixed,Kingston upon Thames,,KT6 6LW,11,5,Langley Road,Surbiton,Voluntary Aided School,518442,166790,51.38780358316386,-0.2992009819411817
,Surrey,St Mary's CofE (Aided) Primary School,Mixed,Kingston upon Thames,,KT9 2DH,11,3,Church Lane,Chessington,Voluntary Aided School,518544,163632,51.35939918111723,-0.2987881889464597
,Surrey,Corpus Christi Catholic Primary School,Mixed,Kingston upon Thames,,KT3 3JU,11,3,Chestnut Grove,New Malden,Voluntary Aided School,520525,168776,51.405214623387934,-0.2686062040369286
,Surrey,Our Lady Immaculate Catholic Primary School,Mixed,Kingston upon Thames,Tolworth,KT6 7DG,11,5,Ewell Road,Surbiton,Voluntary Aided School,519560,166315,51.38330024621685,-0.28330126946439493
,Surrey,St Joseph's Catholic Primary School,Mixed,Kingston upon Thames,,KT1 2UP,11,3,The Fairfield,Kingston upon Thames,Voluntary Aided School,518683,169104,51.40855067302031,-0.29496599973847143
,Surrey,Chessington Community College,Mixed,Kingston upon Thames,,KT9 2JS,18,11,Garrison Lane,Chessington,Community School,517780,163323,51.35678073435204,-0.30985819037789364
,Surrey,St Luke's CofE Primary School,Mixed,Kingston upon Thames,,KT2 6EN,11,3,Acre Road,Kingston upon Thames,Foundation School,518533,169913,51.41585300601644,-0.29685148514860366
