EstablishmentName,Easting,Northing,lat,lng
Talmud Torah Chaim Meirim Wiznitz School,533841,187130,51.56716765262176,-0.07032372702368549
Talmud Torah Bobov Primary School,533958,187920,51.57423902390913,-0.06833576588960102
T T T Y Y School,533064,187207,51.56804333471327,-0.0814983629433793
Tayyibah Girls' School,534460,187173,51.5674069206731,-0.06138185314409367
Paragon Christian Academy,535773,185881,51.555482499772374,-0.04294817256168826
River House Montessori School,537643,179702,51.4995050067578,-0.01840436376667538
Stormont House School,534568,185541,51.55271567835771,-0.06044867472088774
Downsview School,534610,185902,51.55594969281003,-0.0597052173173349
Horizon School,533294,185654,51.55403331911726,-0.07877015940196083
Ickburgh School,534648,186397,51.560388805691126,-0.05896804205516616
Randolph Beresford Early Years Centre,522759,180583,51.51084843839001,-0.23241010076128396
Vanessa Nursery School,522645,179588,51.50193092894219,-0.23439770438506685
James Lee Nursery School,524114,178545,51.492236998964906,-0.213610932096523
Bayonne Nursery School,524079,177674,51.484416900576726,-0.21442065032341284
The Bridge Academy,523727,176629,51.475102378372526,-0.21985314454192686
Addison Primary School,523706,179379,51.49982159840339,-0.21919271040139846
Avonmore Primary School,524403,178848,51.49489662488073,-0.20934359069786773
Brackenbury Primary School,522760,179365,51.49990184328731,-0.2328192400265753
Canberra Primary School,522938,180698,51.51184307618736,-0.22979195648281128
Miles Coverdale Primary School,523026,179840,51.504112962702656,-0.2288235413437987
Flora Gardens Primary School,522590,178797,51.49483397684115,-0.23546426723915323
Fulham Primary School,525224,177604,51.48353566247484,-0.19796415824335076
New King's Primary School,524737,176318,51.47208579905273,-0.20542765401249233
Kenmont Primary School,522501,182898,51.53170967075551,-0.23532196014523674
Langford Primary School,525887,176415,51.47270306162268,-0.18884441276321992
Lena Gardens Primary School,523316,179271,51.4989361312494,-0.22484609959787855
Melcombe Primary School,523607,177859,51.48618279051252,-0.22115005398097512
Old Oak Primary School,521948,181361,51.51801595738927,-0.2438218716173308
Queen's Manor School and Special Needs Unit,523582,177153,51.479843317937984,-0.2217567533730225
Sir John Lillie Primary School,524416,177532,51.48306676122553,-0.20961978240764165
Sulivan Primary School,525155,176169,51.47065449947354,-0.19946524760527393
Wendell Park Primary School,521631,179719,51.503327190115556,-0.24895418653111792
Wormholt Park Primary School,522318,180664,51.51167195900842,-0.23873364043799644
Greenside Primary School,522430,179776,51.50366709477857,-0.23742850213125993
All Saints CofE Primary School,524167,176390,51.47285813961778,-0.2136048750577737
Holy Cross RC School,525175,176754,51.47590750903216,-0.19897040518936046
John Betts Primary School,522568,179018,51.496824914828366,-0.2357043293841027
St Augustine's RC Primary School,524414,177667,51.484280458688644,-0.20960105221944195
St Johns Walham Green Church of England Primary School,524468,176864,51.47705194841037,-0.2091064838783519
St Mary's Catholic Primary School,523932,179282,51.498900386305635,-0.21597255124867576
St Paul's CofE Primary School,523176,178344,51.49063552898607,-0.22718519430000755
St Peter's Primary School,522274,178492,51.49216124590589,-0.24011951344194016
St Stephen's CofE Primary School,523106,180001,51.505542488775504,-0.227615355369677
Good Shepherd RC Primary School,521890,179649,51.50264233372319,-0.24524863609180456
Pope John RC School,522736,180735,51.51221947972485,-0.23268849898015392
St Thomas of Canterbury Catholic Primary School,524581,177345,51.48134988695447,-0.20731071437480011
Phoenix High School,522377,180823,51.513088157212884,-0.23782872282035025
Hurlingham and Chelsea Secondary School,525368,175859,51.46782140065147,-0.19651008555192154
St Paul's Girls' School,523743,178859,51.49514020481871,-0.2188421309816328
Corona Theatre School,512858,169744,51.41549111289017,-0.37847663284510064
Bute House Preparatory School,523536,178930,51.49582352311964,-0.22179761868228082
The Godolphin and Latymer School,522972,178861,51.49532626633758,-0.22994208240424394
Latymer Upper School,522457,178593,51.49302938403842,-0.23744987788545535
Ecole Francaise Jacques Prevert,523811,178942,51.495871260368844,-0.21783399794594294
Al-Muntada Islamic School,524991,176794,51.47630763942729,-0.20160429576166025
Ravenscourt Park Preparatory School,522386,178711,51.494105236194585,-0.23843119519847952
Sinclair House School,524356,176939,51.47775059195794,-0.2106919992987781
L'Ecole des Petits School,525738,176341,51.47207112615404,-0.19101488505861017
Le Herisson School,522559,178561,51.49271971107229,-0.2359924721165568
Queensmill School,525419,176228,51.47112633047184,-0.1956454282151325
Woodlane High School,522820,181248,51.516811651830714,-0.23130006552427898
Jack Tizard School,522684,180419,51.509390817915836,-0.2335473137482647
Cambridge School,522891,178876,51.495478672084545,-0.23110308639882773
Margaret McMillan Nursery School,529985,187573,51.57205000004146,-0.1257618228287994
Kate Greenaway Nursery School and Children's Centre,530441,183608,51.53631315791237,-0.1206550033303602
North Islington Nursery School,530859,186986,51.56657292590298,-0.11337617379759485
New River College KS3 PRU,529580,186846,51.565609911805886,-0.13187025850568396
Paradise Park Pupil Referral Unit,531243,183843,51.53823925606497,-0.10901083365350953
New River College KS4,531243,183843,51.53823925606497,-0.10901083365350953
Ambler Primary School,531678,186560,51.562554217563275,-0.10172623205198118
Copenhagen Primary School,530584,183537,51.53564207916456,-0.11862070640994801
